City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Hobart,AU,2020-09-07 19:48:56,-42.88,147.33,59.0,58,100,5.82
70,Ambulu,ID,2020-09-07 19:52:18,-8.35,113.61,74.17,89,15,4.94
71,Barcelos,PT,2020-09-07 19:50:37,41.54,-8.62,80.01,50,3,8.05
72,Upernavik,GL,2020-09-07 19:52:19,72.79,-56.15,37.71,81,100,8.48
73,Castro,BR,2020-09-07 19:52:19,-24.79,-50.01,76.17,50,55,7.45
74,Victoria,HK,2020-09-07 19:52:08,22.29,114.16,84.0,86,100,1.99
75,Kaeo,NZ,2020-09-07 19:52:20,-35.1,173.78,49.15,85,19,7.31
76,Nuuk,GL,2020-09-07 19:52:20,64.18,-51.72,44.6,70,40,10.29
77,Turukhansk,RU,2020-09-07 19:52:21,65.82,87.98,48.31,74,99,2.24
78,Mecca,SA,2020-09-07 19:52:22,21.43,39.83,88.75,51,0,2.55
79,Saint-Philippe,RE,2020-09-07 19:52:22,-21.36,55.77,69.8,100,90,20.8
80,Santa Maria,BR,2020-09-07 19:52:23,-29.68,-53.81,60.8,82,90,16.11
81,Fairlie,GB,2020-09-07 19:52:24,55.76,-4.86,60.01,93,100,1.99
82,Coahuayana,MX,2020-09-07 19:52:24,18.73,-103.68,78.8,78,75,5.82
83,Tasiilaq,GL,2020-09-07 19:52:25,65.61,-37.64,37.4,93,69,5.82
84,Manavadar,IN,2020-09-07 19:52:26,21.5,70.13,80.49,88,100,6.17
85,Hithadhoo,MV,2020-09-07 19:52:27,-0.6,73.08,82.69,77,97,13.42
86,Chunskiy,RU,2020-09-07 19:52:28,56.08,99.63,51.89,96,100,4.07
87,Rudnya,RU,2020-09-07 19:52:28,54.95,31.09,51.78,96,100,9.57
88,Fenoarivo,MG,2020-09-07 19:52:28,-18.93,47.44,57.2,76,40,11.41
89,Sao Gabriel Da Cachoeira,BR,2020-09-07 19:52:29,-0.13,-67.09,93.2,59,40,3.36
90,Atuona,PF,2020-09-07 19:52:30,-9.8,-139.03,78.69,75,94,21.97
91,Cangucu,BR,2020-09-07 19:52:30,-31.39,-52.68,60.01,79,78,7.0
92,Bulawayo,ZW,2020-09-07 19:52:31,-20.15,28.58,55.74,61,0,8.52
93,Valle De Juarez,MX,2020-09-07 19:52:31,19.93,-102.93,69.94,84,92,3.78
94,Port Elizabeth,ZA,2020-09-07 19:50:00,-33.92,25.57,57.2,100,20,1.12
95,Kurchum,KZ,2020-09-07 19:52:32,48.57,83.65,52.36,63,46,8.95
96,Camacha,PT,2020-09-07 19:52:33,33.08,-16.33,73.4,78,20,5.82
97,Saint-Francois,FR,2020-09-07 19:52:33,46.42,3.91,62.6,45,0,4.7
98,Busselton,AU,2020-09-07 19:52:34,-33.65,115.33,48.0,78,60,10.4
99,Ilulissat,GL,2020-09-07 19:52:34,69.22,-51.1,39.2,80,75,9.17
100,Kavieng,PG,2020-09-07 19:52:35,-2.57,150.8,82.47,75,35,12.75
101,Qasigiannguit,GL,2020-09-07 19:52:35,68.82,-51.19,39.2,80,75,9.17
102,Touros,BR,2020-09-07 19:52:36,-5.2,-35.46,82.4,61,20,14.99
103,Kharovsk,RU,2020-09-07 19:52:36,59.96,40.19,53.08,95,100,2.53
104,Severomuysk,RU,2020-09-07 19:52:37,56.15,113.43,44.13,89,0,2.42
105,Kahului,US,2020-09-07 19:52:37,20.89,-156.47,86.0,51,20,12.75
106,Nizwa,OM,2020-09-07 19:52:38,22.93,57.53,88.12,37,0,6.62
107,Hirara,JP,2020-09-07 19:52:38,24.8,125.28,81.5,64,1,6.93
108,Thompson,CA,2020-09-07 19:52:39,55.74,-97.86,42.8,70,90,17.22
109,Jamestown,US,2020-09-07 19:48:21,42.1,-79.24,66.0,82,75,19.46
110,Geraldton,AU,2020-09-07 19:52:40,-28.77,114.6,44.6,93,75,9.17
111,Kaura Namoda,NG,2020-09-07 19:52:40,12.59,6.58,77.18,79,14,7.49
112,Airai,TL,2020-09-07 19:52:41,-8.93,125.41,56.03,59,98,3.62
113,Belaya Gora,RU,2020-09-07 19:52:42,68.53,146.42,38.43,77,89,10.04
114,Nemuro,JP,2020-09-07 19:52:42,43.32,145.57,66.69,99,100,3.76
115,Tautira,PF,2020-09-07 19:52:43,-17.73,-149.15,80.01,74,40,8.05
116,Namibe,AO,2020-09-07 19:52:44,-15.2,12.15,68.0,88,66,6.29
117,Kununurra,AU,2020-09-07 19:52:34,-15.77,128.73,71.6,36,68,5.82
118,Kitakata,JP,2020-09-07 19:52:45,37.65,139.87,77.0,83,39,1.7
119,Khash,IR,2020-09-07 19:52:46,28.22,61.22,65.55,25,0,4.09
120,Pucallpa,PE,2020-09-07 19:52:47,-8.38,-74.55,95.0,50,40,4.7
121,Solwezi,ZM,2020-09-07 19:52:47,-12.17,26.39,56.73,37,0,1.9
122,San Cristobal,VE,2020-09-07 19:52:47,7.77,-72.22,91.4,55,40,12.75
123,Valparaiso,CL,2020-09-07 19:50:34,-33.04,-71.63,59.0,67,57,6.93
124,Dongsheng,CN,2020-09-07 19:52:48,39.82,109.98,58.53,56,0,7.92
125,Juneau,US,2020-09-07 19:52:49,58.3,-134.42,54.0,76,90,12.75
126,Sydney,AU,2020-09-07 19:48:28,-33.87,151.21,55.0,81,0,4.7
127,Beyneu,KZ,2020-09-07 19:52:50,45.32,55.2,65.77,32,97,11.9
128,Biak,ID,2020-09-07 19:52:50,-0.91,122.88,75.24,86,100,5.68
129,Maragogi,BR,2020-09-07 19:52:51,-9.01,-35.22,75.27,77,0,7.63
130,Mantua,IT,2020-09-07 19:52:51,45.17,10.78,71.01,81,5,8.97
131,Barcelona,ES,2020-09-07 19:52:44,41.39,2.16,64.4,93,40,13.87
132,Bambous Virieux,MU,2020-09-07 19:52:52,-20.34,57.76,72.0,94,40,10.29
133,Bukachacha,RU,2020-09-07 19:52:53,52.98,116.92,51.08,84,0,2.51
134,Kieta,PG,2020-09-07 19:52:53,-6.22,155.63,78.57,79,84,3.8
135,Ribeira Grande,PT,2020-09-07 19:52:54,38.52,-28.7,71.6,68,40,16.11
136,Kindu,CD,2020-09-07 19:52:55,-2.95,25.95,72.12,85,44,0.25
137,Oranjemund,NA,2020-09-07 19:52:55,-28.55,16.43,61.65,64,0,1.34
138,Tiksi,RU,2020-09-07 19:52:55,71.69,128.87,41.67,79,100,10.45
139,Kangaatsiaq,GL,2020-09-07 19:52:56,68.31,-53.46,40.78,73,100,10.89
140,Yumen,CN,2020-09-07 19:52:57,40.28,97.2,69.12,28,99,9.01
141,Kuntaur,GM,2020-09-07 19:52:57,13.67,-14.88,76.93,91,93,5.12
142,Cidreira,BR,2020-09-07 19:52:58,-30.18,-50.21,57.83,92,100,17.34
